Vos notes Kindle pour :,,,
ALL THE PRESIDENT'S MEN,,,
"de Bob Woodward, Carl Bernstein",,,
Aperçu instantané Kindle gratuit :,,,
http://a.co/2u4kOpm,,,
----------------------------------------------,,,
,,,
type,empla,suivi,anno
Surlignement (Jaune),Page 79,,"The networks carried neither of the stories, and most papers didn’t either. On Capitol Hill, the Republican leader of the Senate, Hugh Scott of Pennsylvania, told an informal morning press conference that the Watergate case was not of concern to the average voter but of interest to “just Senator McGovern and the media.” “Nobody is paying any attention to what you’re writing,”"
Note,Page 79,,trump lol
Surlignement (Jaune),Page 162,,"QUESTION: “Why don’t you deny the charges?” ZIEGLER: “I am not going to dignify these types of stories with a comment . . . it goes without saying that this administration does not condone sabotage or espionage or surveillance of individuals, but it also does not condone innuendo or source stories that make broad sweeping charges about the character of individuals.” The White House had decided that the conduct of the press, not the conduct of the President’s men, was the issue."
Note,Page 162,,press vs president
Surlignement (Jaune),Page 163,,"MacGregor entered the room from the rear and walked up the middle aisle. He is a big man, six foot three inches, about 210 pounds. Arriving at the lectern, he grabbed both sides of it and gave a halfhearted smile. Because of the “unusual developments of the past few days,” MacGregor said, he would be unable to answer any questions. Clark Mollenhoff, six foot four inches and 230 pounds, Washington bureau chief of the Des Moines Register and Tribune Syndicate, rose, his face contorted in anger. Mollenhoff, a Pulitzer Prize-winning investigative reporter, had briefly served at the White House as resident ombudsman charged with keeping things honest. MacGregor and Mollenhoff looked like two giants getting ready to lay clubs on each other. “What credibility do you have?” Mollenhoff shouted. His voice was booming, and the other reporters fell silent. “What documents have you seen?” Mollenhoff demanded. “Because if you can’t tell us, you have no right to stand there.” When MacGregor had entered the room, copies of his prepared statement had been handed out, so the reporters knew what was coming. Others were shouting at him now, though none as vigorously as Mollenhoff. “Why should we sit here and listen to you, why should we print a word you say?” he insisted. “That will be a matter you will have to determine in consultation with your editors,” MacGregor replied. Then, looking into the television cameras, he began reading: According to the Gallup, Harris, Sindlinger and Yankelovich polls, the political elitist movement known as McGovernism is about to be repudiated overwhelmingly by the American people. As it should be. But frustrated, 26 points behind in the polls, with three weeks to go, George McGovern and his confederates are now engaging in the “politics of desperation.” We are witnessing some of the dirtiest tactics and hearing some of the most offensive language ever to appear in an American presidential campaign. Lashing out wildly, George McGovern has compared the President of the United States to Adolf Hitler, the Republican Party to the Ku Klux Klan, and the United States Government to the Third Reich of Nazi Germany. . . . And the Washington Post’s credibility"
Note,Page 164,,nazi germany
Surlignement (Jaune),Page 169,,"three years of speeches from Vice President Agnew—has less than total confidence that what it reads and hears—particularly in the so-called Eastern Establishment media—is true and undistorted by political prejudice. Hence the recent Administration attacks on the Washington Post, which has been giving the corruption allegations front-page treatment. . . . Repeated requests to senior White House aides to get the full story, as they see it, have gone unanswered. This leaves the field to Mr. Ziegler, who appears increasingly uncomfortable with questions about Mr. Chapin and Mr. Segretti. “Do you know why we’re not uptight about the press and the espionage business?” one White House aide—not Mr. Ziegler—asked rhetorically the other day. “Because we believe that the public believes that the Eastern press really is what Agnew said it was—elitist, anti-Nixon and ultimately pro-McGovern.”"
Note,Page 169,,spicey
Surlignement (Jaune),Page 186,,"ZIEGLER: “Quite frankly, I wouldn’t lump those publications with the Washington Post. I don’t think I would. . . .” Ziegler was then asked about the Post’s reason for running the stories. ZIEGLER: “I don’t know what their motivation is. I have personal observations about what their motivation may be. You have a man who is the editor over at the Washington Post by the name of Ben Bradlee. I think anyone who would honestly want to assess what his political persuasions are would come quickly to the conclusion that he is not a supporter of President Nixon. “I read the other day where Mr. Bradlee was giving a speech and he said the Nixon Administration is committed to our destruction—referring to the press—that this Administration is committed to the destruction of the free press. “There has been nothing as long as I have been press secretary where we have ever involved ourselves in a program of destruction of the free press. We respect the free press. I respect the free press. I don’t respect the type of shabby journalism that is being practiced"
Note,Page 186,,spicey 2
Surlignement (Jaune),Page 266,,"dollars of their own money to express their opinion. Not so. The ad was paid for by CRP with forty of those $100 bills from the pile in Stans’ safe.” A line in the advertisement ran: “Who can you believe—the New York Times or the American people?” Back at the office, Woodward called another CRP official. He said the attempt to drum up support for the Haiphong decision “put the entire staff in overdrive for two weeks. . . . The work included petition drives, organizing rallies, bringing the people in buses to Washington, organizing calls to the White House, getting voters to call their Congressmen.”"
Note,Page 266,,elitism
Surlignement (Jaune),Page 267,,"referring to was the North Vietnamese. No, Shumway said, he meant the McGovern forces. Following it down to the end, Woodward called Frank Mankiewicz, McGovern’s former campaign aide. “We didn’t do it,” he said, somewhat incredulously. “It didn’t occur to us, believe me. These guys are something. They assume we have the same sleazy ethics as theirs.”"
Note,Page 267,,projection
Surlignement (Jaune),Page 269,,"There was a discussion about whether to go the criminal route or the civil-suit route first. At a meeting, Nixon said that the money left over from the campaign, about $5 million or so, might as well be used to take the Washington Post down a notch. Thus your subpoenas, and the others. Part of the discussion was about starting a grand-jury investigation, but that’s for later. “Nixon was wild, shouting and hollering that ‘we can’t have it and we’re going to stop it, I don’t care how much it costs.’ His theory is that the news media have gone way too far and the trend has to be stopped—almost like he was talking about federal spending. He’s fixed on the subject and doesn’t care how much time it takes; he wants it done. To him, the question is no less than the very integrity of government and basic loyalty. He thinks the press is out to get him and therefore is disloyal; people who talk to the press are even worse—the enemies within, or something like that.” Woodward took a breath."
Note,Page 269,,nixon
Surlignement (Jaune),Page 269,,"“Worried?” Deep Throat leaned back and threw his arm over his chair. “It can’t work. They’ll never get anyone. They never have. They’re hiding things that will come out and even discredit their war against leaks. The flood is coming, I’m telling you. So the White House wants to eat the Washington Post, so what? It will be wearing on you, but the end is in sight. It’s building and they see it and they know that they can’t stop the real story from coming out. That’s why they’re so desperate. Just be careful, yourselves and the paper, and wait them out, don’t jump too fast. Be careful and don’t be too anxious.”"
Note,Page 269,,lzeaks
Surlignement (Jaune),Page 286,,"“Sixty-one percent, Ed,” Buchanan responded. “Sixty-one percent. Just the biggest landslide in recent history, and if it hadn’t been for Watergate, it would have been more.” “You did it dirty.” “A little spying, Ed. That’s politics. I’ll bet you guys had the binoculars on Shula [the Miami Dolphin football coach] at the Super Bowl. You had the glasses out on the other side of the stadium and you didn’t even win.” “You won, Pat, all right, and now everyone is seeing how it stinks.” Williams faltered slightly, clutching his drink in both hands. “How about some of your clients, Ed?” Buchanan responded, referring, possibly, to former Teamster president James Hoffa and ex-Senate aide Bobby Baker. “You’ve really handled some fine fellows.” “Pat,” Williams said, moving in and planting his bulky frame in front of Buchanan, “I’m surprised at you, Pat. There’s one big difference—” “How about some of those crooks you defended?” Buchanan taunted. “There’s a big difference,” Williams boomed, “such a big difference.” He bent his head, leaned against the bar, and looked up quietly. “What’s this big difference, Ed?” “I didn’t run any of my clients for President.”"
Note,Page 287,,61 percent
Surlignement (Jaune),Page 299,,"The same morning the Post reported John Dean’s charges, the headline in the New York Times signaled that John Mitchell’s blithe dismissals of his own complicity had ended. Only a few days earlier, when Jeb Magruder’s allegations had appeared in the Post, Mitchell had said: “This gets a little sillier as it goes along, doesn’t it? I’ve had a good night’s sleep and haven’t heard any of this nonsense.” Now the Times reported, Mitchell had told “friends” that in three meetings during 1972 he had listened to proposals to bug the Democrats and had rejected the plans on each occasion. Dean, too, had rejected the idea, Mitchell had told these “friends.” But he had his doubts about Jeb Magruder."
Note,Page 300,,comey
Surlignement (Jaune),Page 311,,"The easiest course would be for me to blame those to whom I delegated the responsibility to run the campaign. But that would be a cowardly thing to do. . . . In any organization, the man at the top must bear the responsibility. That responsibility, therefore, belongs here in this office. I accept it. . . . It was the system that has brought the facts to light . . . a system that in this case has included a determined grand jury, honest prosecutors, a courageous judge, John Sirica, and a vigorous free press. . . . I must now turn my full attention once again to the larger duties of this office. I owe it to this great office that I hold, and I owe it to you—to our country. “. . . There can be no whitewash at the White House. . . . Two wrongs do not make a right. . . . I love America. . . . God bless America and God bless each and every one of you.”"
Note,Page 311,,nixon speech
Surlignement (Jaune),Page 311,,"White House Press Secretary Ronald Ziegler publicly apologized today to the Washington Post and two of its reporters for his earlier criticism of their investigative reporting of the Watergate conspiracy. At the White House briefing, a reporter asked Ziegler if the White House didn’t owe the Post an apology. “In thinking of it all at this point in time, yes,” Ziegler said, “I would apologize to the Post, and I would apologize to Mr. Woodward and Mr. Bernstein. . . . We would all have to say that mistakes were made in terms of comments. I was over enthusiastic in my comments about the Post, particularly if you look at them in the context of developments that have taken place. . . . When we are wrong, we are wrong, as we were in that case.”"
Note,Page 311,,apologies to the post
Surlignement (Jaune),Page 336,,"In response to suspected leaks to the press about Vietnam, Kissinger had ordered FBI wiretaps in 1969 on the telephones of 17 journalists and White House aides, without court approval. Many news stories based on the purported leaks questioned progress in the American war effort, further fueling the antiwar movement. In a tape from the Oval Office on February 22, 1971, Nixon said, “In the short run, it would be so much easier, wouldn’t it, to run this war in a dictatorial way, kill all the reporters and carry on the war.” “The press is your enemy,” Nixon explained five days later in a meeting with Admiral Thomas H. Moorer, the chairman of the Joint Chiefs of Staff, according to another tape. “Enemies. Understand that? . . . Now, never act that way . . . give them a drink, you know, treat them nice, you just love it, you’re trying to be helpful. But don’t help the bastards. Ever. Because they’re trying to stick the knife right in our groin.”"
Note,Page 336,,the press
Surlignement (Jaune),Page 336,,"On September 8, 1971, Nixon ordered Ehrlichman to direct the Internal Revenue Service to investigate the tax returns of all the likely Democratic presidential candidates, as well as Kennedy. “Are we going after their tax returns?” Nixon asked. “You know what I mean? There’s a lot of gold in them thar hills.”"
Note,Page 336,,tax returns
Surlignement (Jaune),Page 336,,"Haldeman said Mitchell had come up with a plan for the CIA to claim that national security secrets would be compromised if the FBI did not halt its Watergate investigation. Nixon approved the scheme and ordered Haldeman to call in CIA director Richard Helms and his deputy Vernon Walters. “Play it tough,” the president directed. “That’s the way they play it, and that’s the way we are going to play it.” The contents of the tape were made public on August 5, 1974. Four days later, Nixon resigned. Another tape captured discussions in the Oval Office on August 1, 1972, six weeks after the burglars’ arrest, and the day on which the Post published our first story showing that Nixon campaign funds had gone into the bank account of one of the burglars."
Note,Page 336,,tapes
